Year,25%_Emissions_GtC,25%_CO2_ppm,25%_Temp_C,25%_Forcing_Wm2,50%_Emissions_GtC,50%_CO2_ppm,50%_Temp_C,50%_Forcing_Wm2,75%_Emissions_GtC,75%_CO2_ppm,75%_Temp_C,75%_Forcing_Wm2,100%_Emissions_GtC,100%_CO2_ppm,100%_Temp_C,100%_Forcing_Wm2
2065,2.675,348.93164857533344,1.232725903763648,1.1774625101634595,5.35,352.1231276658492,1.2382961634409562,1.2261734858709215,8.024999999999999,355.31460675636515,1.2438321912932002,1.2744449538399414,10.7,358.50608584688115,1.2493344630967773,1.3222847743528885
2066,2.675,347.70709560382676,1.229793136694834,1.158654009488111,5.35,350.98882511253225,1.2357151876421744,1.2089115863940791,8.024999999999999,354.27055462123786,1.2415995567076388,1.2587014370423784,10.7,357.55228412994353,1.2474467848475785,1.3080321870848413
2067,2.675,346.5070336917502,1.2267397239978193,1.1401573026251381,5.35,349.8772086102816,1.2330224199503936,1.1919407161057247,8.024999999999999,353.2473835288131,1.2392637858292068,1.2432277115994932,10.7,356.61755844734466,1.245464433619806,1.2940277165534084
2068,2.675,345.3309730179152,1.2235693668170289,1.1219682739664973,5.35,348.787824438076,1.2302213055053461,1.1752568697162957,8.024999999999999,352.2446758582368,1.236828066205726,1.2280199156267246,10.7,355.70152727839775,1.2433903380147129,1.280267676836285
2069,2.675,344.1784335575569,1.2202856960729833,1.1040828273087162,5.35,347.72022794931445,1.2273152227207245,1.1588560666865786,8.024999999999999,351.26202234107205,1.2342955224339014,1.2130742164620196,10.7,354.8038167328298,1.2412273677272525,1.2667484147647043
2070,2.675,343.04894488640576,1.2168922733310843,1.086496886989135,5.35,346.67398339032815,1.224307484159582,1.1427343521479938,8.024999999999999,350.2990218942506,1.2316692170314913,1.1983868113712488,10.7,353.9240603981732,1.23897833440474,1.2534663104204082
2071,2.675,341.94204598867765,1.213392591670577,1.0692063989790963,5.35,345.6486637225216,1.2212013374081085,1.1268877977817655,8.024999999999999,349.35528145636556,1.2289521513061674,1.183953928215566,10.7,353.0618991902097,1.236645992500681,1.2404177775985694
2072,2.675,340.8572850689041,1.2097900765533391,1.052207331934386,5.35,344.64385044807113,1.2179999659474663,1.1113125026574555,8.024999999999999,348.4304158272382,1.2261472662207922,1.1697718260813363,10.7,352.21698120640553,1.2342330401235453,1.2275992642374325
2073,2.675,339.794219367526,1.2060880866921564,1.035495678203239,5.35,343.6591334391097,1.2147064900233815,1.0960045940314034,8.024999999999999,347.52404751069344,1.2232574432548546,1.1558367958733549,10.7,351.38896158227743,1.2317421198802727,1.215007252815416
2074,2.675,338.7524149801755,1.2022899149181454,1.019067454792297,5.35,342.69411077032754,1.2113239675131935,1.0809602281056445,8.024999999999999,346.6358065604796,1.220285505261809,1.1421451608720115,10.7,350.5775023506319,1.2291758197143063,1.2026382607164772
